Блок;Тема;Что на сайте сейчас;План реализации;Вопрос к клиенту;Примеры / Как надо
Технический;Модель и Верфь;"Просто ""Яхта 12 метров""";Укажем породу судна для имиджа.;Какая модель, верфь и год постройки?;"Bavaria 38 (Германия), 2014 г."
Технический;Мачта и Паруса;Нет данных;Опишем мощь: высота мачты, площадь ткани.;Высота мачты? Кол-во парусов и их общая площадь (м2)?;"Мачта 18м, 4 паруса, площадь 95 м2"
Технический;Вес и Якорь;""Якорь 30 тонн"";Акцент на остойчивости и мощи системы.;Вес яхты (пустой/полный)? Реальный вес якоря и длина цепи?;"Вес 8.5 тонн. Якорь 25 кг + 50м цепи."
Технический;Скорость и Ход;Нет данных;Дальность и автономность плавания.;Крейсерская скорость? Дальность хода на одной заправке?;"8 узлов. До 500 миль автономности."
Технический;Экипаж;"Капитан Семен";Кто реально управляет? Нужен ли помощник?;Сколько человек в проф. команде на борту?;"Капитан + 1 матрос-стюард"
Технический;Купание;"Можно купаться";Опишем удобство: лестница, душ после моря.;Есть ли трап? Платформа? Можно ли нырять с борта?;"Трап из нержавейки, душ на корме"
Технический;Удобства;"WC, кухня, Bluetooth";Полный фарш: от холодных напитков до каюты.;Подтвердите список: WC, камбуз, холод, плита, аудио?;"Всё работает. Плюс есть СВЧ."
Капитан/История;Жизненный путь;"15 лет опыта";Вдохновляющая история: как вы пришли в море.;Ваша история кратко: от первой лодки до сегодня?;"С 7 лет в яхт-клубе, море — это жизнь."
Капитан/История;Корочки;IYT Yachtmaster;Перечислим все сертификаты для доверия.;Какие именно лицензии (IYT, ГИМС, дипломы)?;"IYT Coastal, Master of Yacht 200t."
Капитан/История;Регалии;"Победитель кубков";Конкретные названия побед и достижений.;В каких регатах побеждали? Названия кубков?;"1 место в Кубке Залива Петра Великого."
Капитан/История;История яхты;Нет данных;Если лодка ходила в походы — это легенда.;Ходила ли яхта в Америку/Японию? Есть ли у неё свои кубки?;"Пересекла Тихий океан в 2018 году."
Капитан/История;Безопасность;"Жилеты есть";Сертификаты безопасности, плоты, спецсредства.;Есть ли спасательный плот? Свистки от акул? Детские жилеты?;"Плот на 10 чел, жилеты SOLAS."
Правила;Что БРАТЬ;Обувь, очки, крем;Чек-лист: носки, тапочки, SPF, ветровки.;Какой дресс-код обязателен? Нужны ли носки?;"Белая подошва. Очки — маст-хэв."
Правила;Питание;Еда, вода;Уточним про ""взятку морскому богу"" и напитки.;Бутылка водки за борт — ваша традиция? Что из еды можно?;"Да, водка богу — это база."
Правила;Что НЕ БРАТЬ;Стекло, лобзик, уточки;Запреты: от опасного инструмента до громоздкого хлама.;Что категорически нельзя? (Уточки, лобзики, красное вино?);"Никаких красных вин (пятна)."
Логистика;Парковка;"Есть бесплатная";Инструкция: где встать, номер причала, КПП.;Где именно припарковаться? Сколько идти до лодки?;"Парковка у кафе ""Якорь"", 2 мин пешком."
Логистика;Базирование;Причал в Находке;Точное место для тех, кто ищет нас на картах.;Номер причала? Точный адрес стоянки?;"Причал ""Восток"", место №24."
Логистика;Точки на карте;Лисий, Аскольд;Координаты и время в пути до идеальных бухт.;Ваши любимые координаты? Сколько реально идти до Аскольда?;"Координаты бухты Трёхозёрье, ход 4ч."
Деньги;Прайс;5000 руб/час;Точные тарифы на 2026 год и пакеты.;Актуален ли прайс? Есть ли условия отмены (шторм)?;"6000 ₽/час. Отмена за 48ч — ок."
Деньги;Юр. данные;Нет данных;Данные для официальных договоров в футере.;Нужно ли указывать ИНН / ОГРН / ИП на сайте?;"ИП Хворостухин, ИНН..."
